Match_ID,Kills,Damage,Win,Top10,Headshot%,LongestKill,Revives,Knocked
1,4,1234,0,0,16.9,133,1,3
2,1,1167,0,0,36.8,332,2,0
3,3,644,0,1,31.6,83,0,0
4,3,1195,0,1,29.0,302,0,1
5,2,545,0,0,19.1,191,0,0
6,3,524,0,0,37.5,409,0,0
7,2,818,0,1,30.7,131,0,2
8,3,973,0,1,44.5,297,3,1
9,0,843,0,1,13.7,461,1,2
10,2,1009,0,0,12.7,217,0,1
11,4,805,0,1,14.1,469,0,1
12,2,385,0,0,22.7,460,2,0
13,1,852,0,1,42.3,376,0,1
14,3,519,1,0,32.5,84,1,0
15,4,900,0,0,34.3,278,0,0
16,4,586,1,1,32.1,290,0,0
17,1,1029,0,1,33.6,449,0,1
18,2,1238,0,0,10.6,285,0,3
19,3,467,0,0,38.2,189,0,0
20,2,389,1,0,41.6,66,0,2
21,3,824,0,1,48.9,300,0,2
22,4,1182,0,1,37.0,226,0,1
23,1,938,0,0,31.1,147,0,0
24,3,793,0,0,31.1,53,0,0
25,3,631,0,1,23.1,375,1,1
26,3,1080,0,0,28.9,258,0,2
27,5,1284,0,0,11.6,198,0,1
28,0,432,0,1,48.7,339,0,0
29,1,973,0,0,13.7,104,0,0
30,4,1536,1,1,16.5,51,0,2
31,3,748,0,1,30.4,336,0,1
32,1,852,0,0,27.2,261,0,1
33,7,891,0,1,44.9,425,1,1
34,3,797,0,1,22.2,171,0,0
35,4,1174,1,1,38.8,462,0,1
36,2,1350,0,1,26.9,250,1,1
37,1,473,1,1,25.3,128,0,1
38,4,666,1,0,18.4,420,0,0
39,4,1211,1,0,42.5,392,2,0
40,1,1050,1,1,17.9,156,0,1
41,2,1009,1,1,10.4,276,1,1
42,3,1074,0,0,43.2,458,0,1
43,5,924,0,0,18.5,209,0,1
44,5,1020,1,0,16.0,236,1,3
45,3,818,1,1,18.0,260,0,0
46,2,842,1,1,47.5,277,0,0
47,3,876,0,1,36.9,360,0,2
48,3,798,1,1,37.6,310,0,1
49,1,1017,0,1,16.1,217,1,2
50,6,974,0,0,34.6,328,1,0
51,1,433,1,1,44.5,63,1,2
52,5,849,1,1,37.2,450,0,4
53,4,905,1,1,13.1,329,0,0
54,3,1282,1,1,27.3,316,0,1
55,2,828,0,1,38.5,246,1,0
56,3,924,0,0,13.7,214,0,0
57,2,880,0,0,24.4,328,1,1
58,6,1230,0,0,38.5,240,0,0
59,2,601,1,1,43.5,354,1,2
60,6,703,1,1,35.5,235,0,0
61,3,687,0,1,43.5,78,0,2
62,0,903,0,1,36.2,401,0,1
63,5,526,0,1,47.3,361,0,1
64,0,1266,0,0,10.5,180,0,1
65,6,1003,0,1,24.0,102,2,1
66,2,1046,0,0,12.6,229,0,0
67,4,1425,0,0,25.2,154,0,1
68,3,813,0,1,19.9,172,0,0
69,5,1113,0,0,19.8,426,0,1
70,8,1045,0,1,21.5,182,0,0
71,4,1284,0,0,21.6,50,0,1
72,1,1072,1,1,33.2,189,1,0
73,3,772,0,0,36.0,256,0,2
74,0,1006,0,1,20.4,222,0,1
